age,temp,ci
394,26.26,3.02
395,24.92,2.32
396,24.42,3.89
398,23.73,3.98
400,24.54,4.25
403,33.18,2.78
405,30.55,2.53
406,27,0.25
407,26.7,0.65
409,28.9,1.3
410,29.86,1
412,34.42,2.64
414,35.55,1.14
415,33.54,2.19
416,32.46,0.71
421,31.8,2.16
422,29.39,2.16
423,30.03,3.57
424,27.84,1.36
425,32.54,1.15
426,30.69,2.81
427,28.36,2.59
428,28.02,1.42
429,25.73,2.65
430,26.92,1.66
431,28.04,1.06
432,26.02,1.84
433,30.22,1.88
434,28.52,1.19
435,31.28,1.75
436,30.14,0.82
437,31.26,2.35
438,30.6,2.54
439,29.17,1.75
441,29.21,1.14
442,26.87,2.83
443,26.14,1.08
444,24.71,1.44
445,26.14,3.04
446,25.28,2.69
447,29.78,1.21
448,28.25,0.97
449,29.04,2.39
450,28.37,0.76
451,27.79,0.54
452,27.93,0.47
453,27.86,0.88
454,27.13,1.34
459,31.14,2.96
460,30.56,1.17
462,34.71,2.44
466,32.74,1.5
468,33.79,1.8
472,35.55,1.41
474,38.49,0.97
477,37.41,1.71
480,40.61,1.09
482,39.55,
484,42.7,1.25
485,43.88,1.25
493,46.87,2.59
494,48.88,1.86
495,50.19,1.86
496,47.37,1.1
497,42.97,4.39
498,45.82,2.15
154,20.77980679,
153,20.83793163,
152,20.89843241,
151,20.96114064,
150,21.02588689,
149,21.09250101,
148,21.16081007,
147,21.23064043,
146,21.30181842,
145,21.37417039,
144,21.44752239,
143,21.52169913,
142,21.59652503,
141,21.67182441,
140,21.74742116,
139,21.8231391,
138,21.89880233,
137,21.97423573,
136,22.04926539,
135,22.12371901,
134,22.19742635,
133,22.2702196,
132,22.34193383,
131,22.41240733,
130,22.481482,
129,22.54900374,
128,22.61482276,
127,22.67879395,
126,22.74077719,
125,22.80063767,
124,22.85824615,
123,22.91347928,
122,22.96621985,
121,23.016357,
120,23.06378651,
119,23.10841096,
118,23.15013997,
117,23.18889032,
116,23.22458617,
115,23.25715917,
114,23.28654729,
113,23.3126898,
112,23.33552594,
111,23.35499629,
110,23.37104674,
109,23.38362448,
108,23.39267806,
107,23.3981627,
106,23.40004164,
105,23.39828606,
104,23.39287511,
103,23.38379579,
102,23.37104289,
101,23.3546189,
100,23.33453392,
99,23.31080548,
98,23.28345848,
97,23.25252497,
96,23.21804401,
95,23.18006152,
94,23.13863003,
93,23.09380852,
92,23.04566219,
91,22.99426222,
90,22.93968558,
89,22.88201471,
88,22.82133732,
87,22.75774611,
86,22.69133848,
85,22.62221627,
84,22.55048482,
83,22.47625076,
82,22.39962308,
81,22.32071185,
80,22.23962911,
79,22.15648777,
78,22.07140262,
77,21.98449044,
76,21.8958697,
75,21.80566024,
74,21.71398294,
73,21.6209594,
72,21.52671166,
71,21.43136182,
70,21.33503182,
69,21.23784303,
68,21.13991605,
67,21.04137031,
66,20.94232386,
65,20.84289304,
64,20.74319256,
63,20.64333681,
62,20.54343974,
61,20.4436129,
60,20.34396481,
59,20.24460071,
58,20.14562231,
57,20.04712761,
56,19.94921063,
55,19.85196124,
54,19.75546496,
53,19.65980281,
52,19.56505109,
51,19.47128127,
50,19.37855981,
49,19.28694809,
48,19.19650221,
47,19.10727297,
46,19.01930573,
45,18.93264036,
44,18.84731117,
43,18.76334686,
42,18.6807705,
41,18.59959951,
40,18.51984568,
39,18.44151607,
38,18.36461588,
37,18.28914661,
36,18.21510791,
35,18.14249584,
34,18.07130465,
33,18.00152426,
32,17.93313949,
31,17.86613017,
30,17.80047208,
29,17.73613948,
28,17.67310289,
27,17.61132858,
26,17.55077875,
25,17.49141177,
24,17.43318298,
23,17.37604658,
