"first_author","publication_year","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Beaugrand","2008","https://doi.org/10.1111/j.1461-0248.2008.01218.x","AR5 Ch6","ecological","modern","1958-2005","5-10 years","Basin","115 species or taxonomic groups (50 diatom species, 23 dinoflagellates species, 22 copepod species and 20 other zooplankton taxa including fish eggs and larvae","Original data",1,1,1,1,1,1,0,1,1,1,1,10
"Beaugrand","2009","https://doi.org/10.1016/j.dsr2.2008.12.022","AR5 Ch6","ecological","modern","1958-2005","10 years","Basin","Copepods","Original data",1,1,1,0,1,1,0,1,1,1,0,8
"Beaugrand","2009","https://doi.org/10.1111/j.1365-2486.2009.01848.x","AR5 Ch6","ecological","modern","1960-1999","3 years","Basin","Copepods","Original data",1,1,1,0,1,1,0,1,1,1,1,9
"Beaugrand","2010","https://doi.org/10.1073/pnas.0913855107","AR5 Ch6","ecological","modern","1960-2005","1 year","Basin","Copepods, cod","Original data",1,1,1,1,1,1,1,1,1,1,1,11
"Beaugrand","2013","https://doi.org/10.1038/nclimate1753","AR5 Ch6","ecological","modern","1960-2009","","Basin","plankton","Original data",1,1,1,1,1,1,0,1,1,1,0,9
"Bown","2004","https://doi.org/10.1007/978-3-662-06278-4_18","AR5 Ch6","ecological","deep-time","Mesozoic-Recent","Geological stages","Global","Calcareous nannoplankton","Review (new analysis)",0,1,1,0,0,0,0,1,0,0,0,3
"Bralower","2002","https://doi.org/10.1029/2001PA000662","AR5 Ch6","ecological","deep-time","PETM","100000 years","Local","nannoplankton","Original data",0,1,1,0,0,0,0,1,0,1,0,4
"Brinton","2003","https://doi.org/10.1016/S0967-0645(03)00126-7","AR5 Ch6","ecological","modern","1950-2002","10 years","Regional","euphasiid species","Original data",0,1,1,0,1,1,1,1,1,1,0,8
"Chavez","2003","https://doi.org/10.1126/science.1075880","AR5 Ch6","ecological","modern","1950-2000","10 years","Basin","sardines and anchovy","Review (nothing new)",0,1,1,0,0,0,0,1,0,1,0,4
"De'ath","2009","https://doi.org/10.1126/science.1165283","AR5 Ch6","ecological","historical","1600-2000","multiple (from 1 year to longer)","Regional","Corals","Original data",0,1,1,0,1,1,1,1,1,1,1,9
"deYoung","2004","10.1016/j.pocean.2004.02.017","AR5 Ch6","ecological","historical","multiple (earliest 1650)","multiple","multiple","multiple","Review (nothing new)",0,0,1,1,0,0,0,1,0,1,0,4
"deYoung","2008","https://doi.org/10.1016/j.tree.2008.03.008","AR5 Ch6","ecological","historical","multiple (earliest 1880)","multiple","multiple","multiple","Review (nothing new)",0,0,1,1,0,0,0,1,0,1,0,4
"Edwards","2001","https://doi.org/10.1006/jmsc.2000.0987","AR5 Ch6","ecological","modern","1960-1995","1 year","Basin","phytoplankton","Original data",0,1,1,1,0,0,0,1,0,1,0,5
"Edwards","2004","https://doi.org/10.1038/nature02808","AR5 Ch6","ecological","modern","1958-2002","1 year","Basin","plankton","Original data",1,1,1,1,1,1,1,1,1,1,1,11
"Edwards","2013","https://doi.org/10.1371/journal.pone.0057212","AR5 Ch6","ecological","modern","1924/1948-2004","1 year","Basin","plankton, fish","Original data",1,1,1,1,1,1,1,1,1,1,0,10
"Eero","2011","https://doi.org/10.1890/09-1879.1","AR5 Ch6","ecological","modern","1946-2005","1 year","Basin","cod (Gadus morhua)","Original data",1,1,0,0,1,1,0,1,1,1,0,7
"Field","2006","https://doi.org/10.1126/science.1116220","AR5 Ch6","ecological","historical","600-2000","5 years","Regional","Planktonic foraminifera","Original data",1,1,1,0,1,1,0,1,1,1,1,9
"Foster","2013","https://doi.org/10.1073/pnas.1300579110","AR5 Ch6","ecological","deep-time","Eocene Thermal Maximum & PETM","100000 years","Local","Benthic foraminfera","Original data",1,1,1,0,1,1,0,1,1,1,1,9
"Frank","2005","https://doi.org/10.1126/science.1113075","AR5 Ch6","ecological","modern","1960-2005","1 year","Regional","cod, plankton, etc","Original data",0,0,1,1,0,1,0,0,0,1,0,4
"Friedland","2012","https://doi.org/10.1007/s00300-011-1105-z","AR5 Ch6","ecological","modern","1965-1991","1 year","Basin","Salmon","Original data",0,1,1,1,1,1,1,1,1,1,1,10
"Genner","2004","https://doi.org/10.1098/rspb.2003.2651","AR5 Ch6","ecological","modern","1913-2002","1 year","Regional","fish","Original data",1,1,1,0,1,1,0,1,1,1,0,8
"Genner","2010","https://doi.org/10.1111/j.1365-2486.2009.02027.x","AR5 Ch6","ecological","modern","1911-2007","1 year","Regional","fish","Original data",1,1,1,0,1,1,1,1,1,1,1,10
"Gibbs","2006","https://doi.org/10.1126/science.1133902","AR5 Ch6","ecological","deep-time","PETM","10000 years","Global","nannoplankton","Original data",1,1,1,0,0,1,0,1,0,1,1,7
"Halfar","2011","https://doi.org/10.1016/j.palaeo.2010.04.009","AR5 Ch6","ecological","historical","1893-2007","1 year","Regional","coralline algae","Original data",1,1,0,0,1,1,1,1,1,1,1,9
"Harley","2011","https://doi.org/10.1126/science.1210199","AR5 Ch6","ecological","modern","1957-2010","1 year","Regional","barnacles and mussels","Original data",1,1,1,1,1,1,1,1,1,1,1,11
"Henson","2010","https://doi.org/10.5194/bg-7-621-2010","AR5 Ch6","climate and environment","modern","1958-2006","1 year","Global","phytoplankton","Modelling",1,1,1,1,1,1,1,1,1,1,1,11
"Hinder","2012","https://doi.org/10.1038/nclimate1388","AR5 Ch6","ecological","modern","1960-2009","1 year","Basin","dinoflagellates and diatom","Original data",1,1,1,1,1,0,0,1,1,1,0,8
"Jackson","2000","https://doi.org/10.1017/S0094837300026944","AR5 Ch6","ecological","deep-time/near-time","last 800 myr","1 million","Basin","mollusks and corals","Review (new analysis)",0,0,1,1,1,1,0,1,0,0,0,5
"Karl","2001","https://doi.org/10.1016/S0967-0645(00)00149-1","AR5 Ch6","ecological","modern","1968-2001","1 year","Basin","phytoplankton","Original data",1,1,1,1,0,1,1,1,0,1,0,8
"Kennett","1991","https://doi.org/10.1038/353225a0","AR5 Ch6","ecological","deep-time","PETM","1000 years","Local","benthic foraminifera","Original data",1,1,1,0,0,1,0,1,0,1,0,6
"Kiessling","2011","https://doi.org/10.1111/j.1365-2486.2010.02204.x","AR5 Ch6","ecological","deep-time","Phanerozoic","Geological stages","Global","Marine invertebrates","Meta-analysis/Compilation",0,1,1,1,1,1,0,1,0,1,0,7
"Kiessling","2012","https://doi.org/10.1073/pnas.1214037110","AR5 Ch6","ecological","deep-time","Pleistocene","10000 years","Global","Reef corals","Meta-analysis/Compilation",1,1,1,0,1,1,0,1,0,1,1,8
"Knoll","2007","https://doi.org/10.1016/j.epsl.2007.02.018","AR5 Ch6","ecological","deep-time","end-Permian/early Triassic","unsure","Global","multiple","Review (new analysis)",0,1,1,1,0,1,0,1,0,1,0,6
"Lavaniegos","2003","https://doi.org/10.1016/S0967-0645(03)00132-2","AR5 Ch6","ecological","modern","1951-2002","1 year","Basin","turnicates","Original data",0,0,1,1,1,1,1,0,0,0,0,5
