"first_author","year","title","doi"
"Collins, PEF",2006,"Floodplain environmental change during the Younger Dryas and Holocene in Northwest Europe: Insights from the lower Kennet Valley, south central England","10.1016/j.palaeo.2005.09.014"
"Graumlich, LJ",2005,"Paleoperspectives in ecology","10.1890/03-0783"
"De Toledo, MB",2007,"A mid-Holocene environmental change in Amazonian savannas","10.1111/j.1365-2699.2006.01606.x"
"Carlson, WD",2006,"Three-dimensional imaging of earth and planetary materials","10.1016/j.epsl.2006.06.020"
"Bergeron, Y",2004,"Is regulated even-aged management the right strategy for the Canadian boreal forest?","10.5558/tfc80458-4"
"Irion, G",2006,"A multiproxy palaeoecological record of Holocene lake sediments from the Rio Tapajos, eastern Amazonia","10.1016/j.palaeo.2006.03.005"
"Thibault, N",2007,"The late Maastrichtian nannofossil record of climate change in the South Atlantic DSDP Hole 525A","10.1016/j.marmicro.2007.07.004"
"Gibson, CE",2003,"Aulacoseira suharctica: taxonomy, physiology, ecology and palaeoecology","10.1080/0967026031000094102"
"Stephenson, MH",2006,"Palaeolimnology of palaeozoic lakes, focussing on a single lake cycle in the Middle Devonian of the Orcadian Basin, Scotland","10.1016/j.earscirev.2005.09.002"
"Lynch, EA",2006,"Late-Holocene vegetation and fire history from Ferry Lake, northwestern Wisconsin, USA","10.1191/0959683606hl945rp"
"Hunt, G",2006,"Fitting and comparing models of phyletic evolution: random walks and beyond","10.1666/05070.1"
"Rossetti, DD",2004,"Reconstructing habitats in central Amazonia using megafauna, sedimentology, radiocarbon, and isotope analyses",""
"Steppuhn, A",2007,"The sensitivity of ECHAM4/ML to a double CO2 scenario for the Late Miocene and the comparison to terrestrial proxy data","10.1016/j.gloplacha.2006.09.003"
"Carcaillet, C",2007,"Long-term fire frequency not linked to prehistoric occupations in northern Swedish boreal forest","10.1890/0012-9658(2007)88[465:LFFNLT]2.0.CO;2"
"Schmidt, DN",2003,"Response of planktic foraminiferal size to late Quaternary climate change","10.1029/2002PA000831"
"Hallett, DJ",2006,"Holocene vegetation dynamics, fire history, lake level and climate change in the Kootenay Valley, southeastern British Columbia, Canada","10.1007/s10933-005-1335-6"
"Williams, JW",2007,"Novel climates, no-analog communities, and ecological surprises","10.1890/070037"
"Strong, WL",2003,"Post-hypsithermal plant disjunctions in western Alberta, Canada","10.1046/j.1365-2699.2003.00838.x"
"Robinson, GS",2005,"Landscape paleoecology and megafaunal extinction in southeastern New York State","10.1890/03-4064"
"Koehler, PA",2005,"Development of vegetation in the Central Mojave Desert of California during the late quaternary","10.1016/j.palaeo.2004.09.010"
"Oswald, WW",2003,"Holocene pollen records from the central Arctic Foothills, northern Alaska: testing the role of substrate in the response of tundra to climate change","10.1046/j.1365-2745.2003.00833.x"
"Nelson, DM",2006,"The influence of aridity and fire on Holocene Prairie communities in the eastern Prairie Peninsula","10.1890/0012-9658(2006)87[2523:TIOAAF]2.0.CO;2"
"Hammarlund, D",2004,"Palaeolimnological and sedimentary responses to Holocene forest retreat in the Scandes Mountains, west-central Sweden","10.1191/0959683604hl756rp"
"Petit, RJ",2005,"Climate changes and tree phylogeography in the Mediterranean","10.2307/25065474"
"Stolze, S",2007,"A record of Lateglacial and Holocene vegetation and climate change from Woods Lake, Seymour Inlet, coastal British Columbia, Canada","10.1016/j.revpalbo.2007.07.002"
"Neumann, FH",2007,"Palynology, sedimentology and palaeoecology of the late Holocene Dead Sea","10.1016/j.quascirev.2007.03.004"
"Fletcher, WJ",2007,"Palynological evidence for environmental and climatic change in the lower Guadiana valley, Portugal, during the last 13 000 years","10.1177/0959683607077027"
"Hannon, GE",2005,"Climate change and human settlement as drivers of late-Holocene vegetational change in the Faroe Islands","10.1191/0959683605hl840rp"
"Hopkins, SSB",2007,"Causes of lineage decline in the Aplodontidae: Testing for the influence of physical and biological change","10.1016/j.palaeo.2006.10.006"
"Kingston, JD",2007,"Shifting Adaptive Landscapes: Progress and Challenges in Reconstructing Early Hominid Environments","10.1002/ajpa.20733"
"Chang, AS",2005,"Climate shift at 4400 years BP: Evidence from high-resolution diatom stratigraphy, Effingham Inlet, British Columbia, Canada","10.1016/j.palaeo.2005.05.004"
"Rosenberg, SM",2003,"Postglacial spread of hemlock (Tsuga) and vegetation history in Mount Revelstoke National Park, British Columbia, Canada","10.1139/B03-015"
"Jackson, ST",2004,"Modern analogs in Quaternary paleoecology: Here today, gone yesterday, gone tomorrow?","10.1146/annurev.earth.32.101802.120435"
"Popa, ME",2006,"Aspects of Romanian Early-Middle Jurassic palaeobotany and palynology. Part VII. Successions and floras",""
"Lamentowicz, M",2007,"Palaeoecological evidence for anthropogenic acidification of a kettle-hole peatland in northern Poland","10.1177/0959683607085123"
"Yu, ZC",2003,"Late Quaternary dynamics of tundra and forest vegetation in the southern Niagara Escarpment, Canada","10.1046/j.1469-8137.2003.00678.x"
